RECNO,Name,StaadName,AX,D,Bf,Tf,Tw,Iz,Ix,Ct,Iy,Zx,Zy
184,"I160016C55020","I160016C55020",7.1500000000000000e+02,1.6400000000000000e+03,5.5000000000000000e+02,1.6000000000000000e+01,2.0000000000000000e+01,3.3806890000000000e+06,7.7000000000000000e+02,0.0000000000000000e+00,7.7103000000000000e+04,4.5658000000000000e+04,4.2470000000000000e+03
185,"I160016A40032","I160016A40032",7.1500000000000000e+02,1.6640000000000000e+03,4.0000000000000000e+02,1.6000000000000000e+01,3.2000000000000000e+01,3.4168860000000000e+06,1.3120000000000000e+03,0.0000000000000000e+00,4.3835000000000000e+04,4.6477000000000000e+04,3.7200000000000000e+03
186,"I160012D50025","I160012D50025",7.1700000000000000e+02,1.6500000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,2.5000000000000000e+01,3.5936190000000000e+06,9.1000000000000000e+02,0.0000000000000000e+00,7.3076000000000000e+04,4.8438000000000000e+04,4.9060000000000000e+03
187,"I125012B50040","I125012B50040",7.2100000000000000e+02,1.3300000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,4.0000000000000000e+01,2.4829330000000000e+06,2.3340000000000000e+03,0.0000000000000000e+00,1.0071100000000000e+05,3.9937000000000000e+04,5.5310000000000000e+03
188,"I125016A50032","I125016A50032",7.2300000000000000e+02,1.3140000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,3.2000000000000000e+01,2.2659660000000000e+06,1.4820000000000000e+03,0.0000000000000000e+00,7.6356000000000000e+04,3.8556000000000000e+04,5.1380000000000000e+03
189,"I125016B55032","I125016B55032",7.2300000000000000e+02,1.3140000000000000e+03,5.5000000000000000e+02,1.6000000000000000e+01,3.2000000000000000e+01,2.3300060000000000e+06,1.5000000000000000e+03,0.0000000000000000e+00,1.0667500000000000e+05,3.8262000000000000e+04,5.4400000000000000e+03
190,"I125016A40040","I125016A40040",7.2300000000000000e+02,1.3300000000000000e+03,4.0000000000000000e+02,1.6000000000000000e+01,4.0000000000000000e+01,2.2825800000000000e+06,2.0970000000000000e+03,0.0000000000000000e+00,5.2356000000000000e+04,3.8684000000000000e+04,4.3380000000000000e+03
191,"I100012A50040","I100012A50040",7.2300000000000000e+02,1.0800000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,4.0000000000000000e+01,1.6091420000000000e+06,2.4100000000000000e+03,0.0000000000000000e+00,9.2582000000000000e+04,3.3056000000000000e+04,6.0530000000000000e+03
192,"I100016B50040","I100016B50040",7.3100000000000000e+02,1.0800000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,4.0000000000000000e+01,1.6073140000000000e+06,2.3980000000000000e+03,0.0000000000000000e+00,1.0126700000000000e+05,3.2112000000000000e+04,5.5840000000000000e+03
193,"I100012B55040","I100012B55040",7.3100000000000000e+02,1.0800000000000000e+03,5.5000000000000000e+02,1.2000000000000000e+01,4.0000000000000000e+01,1.6821940000000000e+06,2.5330000000000000e+03,0.0000000000000000e+00,1.2829100000000000e+05,3.3192000000000000e+04,6.5720000000000000e+03
194,"I160016D50020","I160016D50020",7.3100000000000000e+02,1.6400000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,2.0000000000000000e+01,3.3918980000000000e+06,7.8200000000000000e+02,0.0000000000000000e+00,6.3385000000000000e+04,4.6885000000000000e+04,4.3800000000000000e+03
